symbols_to_forget, start_axioms, A-Z, Z-A
3, 1, 2, 2
6, 3, 10, 9
6, 3, 10, 9
5, 3, 7, 7
4, 1, 3, 3
8, 4, 22, 15
7, 2, 13, 10
6, 3, 10, 6
9, 3, 20, 11
6, 1, 4, 4
5, 2, 8, 8
7, 2, 8, 4
5, 2, 6, 3
7, 3, 13, 7
7, 3, 15, 15
4, 1, 3, 3
10, 4, 39, 47
6, 3, 12, 13
5, 3, 7, 7
5, 1, 4, 4
10, 5, 37, 34
4, 2, 4, 2
7, 4, 15, 13
8, 5, 23, 21
8, 4, 21, 20
7, 3, 16, 17
6, 2, 11, 10
11, 3, 31, 36
6, 1, 4, 4
7, 2, 8, 4
6, 2, 10, 10
4, 2, 4, 4
5, 2, 6, 6
5, 3, 7, 7
5, 1, 4, 4
5, 3, 7, 7
3, 1, 2, 2
4, 1, 3, 3
8, 4, 21, 20
5, 2, 6, 3
6, 4, 11, 9
6, 3, 10, 9
7, 3, 15, 15
5, 1, 4, 4
6, 3, 10, 9
6, 1, 5, 5
9, 2, 17, 16
6, 3, 10, 7
6, 1, 4, 4
5, 2, 6, 6
5, 3, 7, 5
7, 3, 15, 15
3, 1, 2, 2
6, 2, 10, 10
6, 4, 11, 11
5, 3, 7, 7
5, 2, 8, 8
3, 1, 2, 2
4, 2, 4, 2
10, 5, 36, 35
7, 4, 15, 13
4, 1, 2, 2
8, 4, 22, 19
5, 2, 6, 6
6, 3, 10, 9
3, 1, 2, 2
3, 1, 2, 2
6, 3, 10, 9
5, 2, 6, 6
5, 2, 8, 8
3, 1, 2, 2
8, 4, 22, 19
8, 3, 23, 23
6, 3, 10, 9
6, 1, 4, 4
5, 2, 6, 6
6, 3, 12, 9
6, 4, 11, 9
3, 1, 2, 2
5, 2, 6, 3
4, 1, 3, 3
7, 4, 17, 15
6, 3, 10, 9
18, 4, 81, 66
6, 4, 10, 8
10, 3, 27, 45
11, 4, 38, 24
11, 2, 32, 36
16, 2, 62, 57
17, 3, 74, 84
17, 4, 82, 35
4, 1, 3, 3
19, 5, 103, 90
18, 4, 91, 82
17, 4, 78, 77
15, 2, 57, 50
16, 2, 70, 72
18, 3, 86, 76
11, 2, 34, 41
11, 2, 36, 52
5, 2, 6, 6
11, 2, 35, 29
12, 3, 44, 34
12, 3, 45, 54
17, 4, 77, 90
13, 3, 52, 42
11, 1, 21, 12
13, 3, 50, 31
12, 2, 39, 43
14, 4, 61, 48
11, 2, 34, 41
11, 2, 36, 52
9, 2, 17, 30
11, 2, 35, 29
14, 3, 56, 67
12, 3, 44, 33
15, 4, 61, 78
16, 5, 68, 61
15, 4, 67, 33
15, 4, 69, 64
15, 4, 63, 58
12, 1, 24, 14
15, 4, 68, 62
9, 2, 19, 17
16, 5, 73, 68
16, 5, 82, 48
15, 4, 68, 63
16, 4, 70, 54
14, 3, 49, 54
13, 2, 44, 35
13, 2, 48, 61
10, 3, 24, 30
13, 2, 43, 56
14, 3, 54, 60
14, 3, 57, 38
13, 2, 48, 61
14, 2, 45, 44
3, 1, 2, 2
9, 4, 33, 126
14, 3, 56, 38
23, 5, 133, 89
20, 4, 94, 74
20, 3, 114, 45
21, 4, 133, 53
14, 3, 55, 40
19, 4, 88, 76
19, 4, 108, 73
20, 4, 117, 141
18, 3, 122, 132
19, 4, 112, 69
19, 4, 104, 73
20, 5, 125, 93
19, 4, 105, 90
12, 1, 30, 13
8, 3, 18, 12
4, 1, 3, 3
7, 2, 9, 10
9, 4, 25, 17
4, 1, 3, 3
13, 2, 49, 39
12, 1, 30, 13
13, 2, 53, 66
14, 3, 59, 33
14, 3, 60, 38
15, 2, 53, 48
12, 3, 46, 54
11, 2, 35, 29
13, 3, 47, 49
12, 2, 39, 41
11, 2, 35, 29
14, 3, 59, 47
15, 2, 73, 81
16, 3, 68, 63
16, 3, 71, 54
14, 3, 60, 27
16, 3, 57, 46
16, 2, 53, 74
16, 3, 64, 62
16, 3, 69, 38
17, 4, 70, 58
14, 2, 61, 64
14, 3, 51, 48
12, 2, 40, 32
14, 3, 54, 48
13, 2, 45, 45
12, 2, 47, 55
12, 2, 41, 31
13, 2, 45, 47
12, 2, 47, 55
13, 3, 52, 56
15, 4, 72, 42
15, 3, 63, 40
15, 3, 63, 41
13, 1, 33, 14
15, 3, 66, 35
15, 3, 66, 49
15, 3, 66, 29
16, 4, 80, 45
6, 3, 9, 6
